iter	RMSE
363	0.9669706438
364	0.9640997856
365	0.9608877653
366	0.9606196924
367	0.9570173021
368	0.9561030445
369	0.9549277736
370	0.9523758672
371	0.9503859927
372	0.9468421465
373	0.9448717935
374	0.9417926225
375	0.9415428565
376	0.9406751159
377	0.9382831296
378	0.9361576258
379	0.933947984
380	0.9316841267
381	0.9295678783
382	0.9269295584
383	0.9257635135
384	0.9248998215
385	0.9233606519
386	0.9205823445
387	0.9189062427
388	0.9163738384
389	0.912803983
390	0.9105355488
391	0.9103060222
392	0.9084101727
393	0.9063338967
394	0.9061134214
395	0.903575253
396	0.9019005175
397	0.9016872188
398	0.8993702104
399	0.8965388168
400	0.8951672007
401	0.8936581732
402	0.8914720666
403	0.8888969206
404	0.8861215206
405	0.8844019429
406	0.8836576972
407	0.8834137878
408	0.8808927302
409	0.8778620354
410	0.8757977722
411	0.8730938337
412	0.8707058764
413	0.8693721925
414	0.8688196808
415	0.8655738903
416	0.8631432274
417	0.8610409577
418	0.8590297828
419	0.8570970287
420	0.8555665361
421	0.8527591468
422	0.8508752429
423	0.8484040154
424	0.8461533603
425	0.8436070539
426	0.8415028132
427	0.8392675562
428	0.8389799389
429	0.8368916654
430	0.8353762665
431	0.833630975
432	0.8317532438
433	0.8293938869
434	0.8274331048
435	0.8266784386
436	0.8238085267
437	0.8226467496
438	0.8211961916
439	0.8187457293
440	0.8172751934
441	0.8152486941
442	0.8137727216
443	0.8127536435
444	0.8109830064
445	0.8108752917
446	0.8094657905
447	0.8084927713
448	0.8067167893
449	0.8040826802
450	0.8024820444
451	0.8006408464
452	0.7982028892
453	0.7968581391
454	0.7953245372
455	0.7942116881
456	0.7927107712
457	0.7920384452
458	0.7898873899
459	0.7867461002
460	0.7847175758
461	0.7823675197
462	0.7803063324
463	0.7778595393
464	0.7765151924
465	0.775147484
466	0.7736230193
467	0.7726961212
468	0.7701979619
469	0.770102987
470	0.7691224967
471	0.7668754674
472	0.7643309898
473	0.7634750824
474	0.7630488588
475	0.7611285856
476	0.7595963598
477	0.7581322115
478	0.7566384746
479	0.7565290155
480	0.7545288286
481	0.7533984834
482	0.752270018
483	0.75122324
484	0.7499479867
485	0.7491545825
486	0.7470048377
487	0.7449315311
488	0.7445418985
489	0.7430155149
490	0.7418535239
491	0.7405337476
492	0.7395960756
493	0.7378955627
494	0.7367193856
495	0.7349761109
496	0.734000886
497	0.7333588829
498	0.7316721283
499	0.7301246866
500	0.7290913901
501	0.7278348135
502	0.7268209822
503	0.7256393024
504	0.7237008369
505	0.7225397092
506	0.7220233409
507	0.7203278422
508	0.7189777522
509	0.7178927556
510	0.7168277542
511	0.7154605235
512	0.7138068203
513	0.7126489908
514	0.7116586767
515	0.7113795854
516	0.7104243483
517	0.7086730715
518	0.7072787619
519	0.7063002283
520	0.7056124668
521	0.7038285123
522	0.7020922148
523	0.7003177037
524	0.6989544487
525	0.6970544722
526	0.696157976
527	0.6953516368
528	0.6938730834
529	0.6922409009
530	0.6913269489
531	0.6910032147
532	0.6892315297
533	0.6877905357
534	0.6874287076
535	0.686192891
536	0.6853983443
537	0.6849958845
538	0.6845121616
539	0.6841308757
540	0.6824064078
541	0.6822450383
542	0.6805163466
543	0.6793882242
544	0.6781337597
545	0.677271049
546	0.6754647711
547	0.6753727436
548	0.6742932471
549	0.6730954678
550	0.6717053903
551	0.6700155203
552	0.668812504
553	0.6682410013
554	0.6665302501
555	0.6658352712
556	0.6646831597
557	0.6630437432
558	0.6623367498
559	0.661668756
560	0.6610175557
561	0.6601820107
562	0.6596321905
563	0.6583804725
564	0.6578360826
565	0.6562756373
566	0.6557462568
567	0.6545455161
568	0.6540469762
569	0.6537645032
570	0.6520611072
571	0.650409083
572	0.6492919057
573	0.6477514612
574	0.6471577271
575	0.6458378323
576	0.6451489904
577	0.644044336
578	0.6429570254
579	0.641521107
580	0.6405659911
581	0.6392652726
582	0.6379938517
583	0.6371457638
584	0.6369066786
585	0.6359181471
586	0.6356778498
587	0.6340285386
588	0.6326981201
589	0.6319124596
590	0.6314800139
591	0.6304194035
592	0.6289463007
593	0.6282884135
594	0.6275036949
595	0.6273387605
596	0.6261188177
597	0.6248818184
598	0.6237618682
599	0.6232231404
600	0.6223589789
601	0.6212906752
602	0.6205828969
603	0.6200222239
604	0.6188770555
605	0.6187208747
606	0.6181067947
607	0.6180362253
608	0.6167466546
609	0.616365596
610	0.6157754233
611	0.6148024085
612	0.6138266572
613	0.6135874318
614	0.6132228255
615	0.613072568
616	0.6123111421
617	0.6117578423
618	0.6106547123
619	0.6102221217
620	0.6090809053
621	0.6079412289
622	0.606609058
623	0.6063316109
624	0.6062663891
625	0.6049079255
626	0.6039262788
627	0.6035370406
628	0.6023850454
629	0.6021700783
630	0.6014483015
631	0.6003663227
632	0.5995615868
633	0.5991017734
634	0.5983539556
635	0.597140263
636	0.5963149573
637	0.5952058722
638	0.5940491539
639	0.5929497924
640	0.5928673611
641	0.5924691804
642	0.5918720865
643	0.5918431841
644	0.5905095116
645	0.5895109193
646	0.5889884093
647	0.5888057822
648	0.5882658509
649	0.5876536402
650	0.5863222447
651	0.5854119094
652	0.5841783072
653	0.5834155604
654	0.5821947417
655	0.5814940589
656	0.5806973902
657	0.5805170051
658	0.5802964806
659	0.5795503651
660	0.5787966051
661	0.5783936869
662	0.5772401431
663	0.5768843471
664	0.5768095637
665	0.5767369155
666	0.5759384215
667	0.5754203166
668	0.5749638439
669	0.5745663545
670	0.5733613306
671	0.5733412719
672	0.5728675377
673	0.5717064112
674	0.5712206257
675	0.5700862156
676	0.5691968251
677	0.5686215712
678	0.567449486
679	0.5664090722
680	0.5654399931
681	0.5644021292
682	0.5634332761
683	0.5633699057
684	0.5629192938
685	0.5624732678
686	0.5617748924
687	0.5613215362
688	0.5602621204
689	0.5593689084
690	0.5580221858
691	0.557306658
692	0.556367996
693	0.5554321683
694	0.5549047519
695	0.5545071312
696	0.5531157185
697	0.5524905857
698	0.5517414814
699	0.5509301877
700	0.5503872337
701	0.5495352905
702	0.5489736586
703	0.5477821053
704	0.546788093
705	0.5455170411
706	0.5443768467
707	0.5437604542
708	0.5436357852
709	0.5426728326
710	0.5416412125
711	0.5415580405
712	0.5403759348
713	0.5402672111
714	0.5399054796
715	0.5392108642
716	0.5384933475
717	0.5383578602
718	0.538061347
719	0.5372393489
720	0.5361920903
721	0.5352437755
722	0.5342575491
723	0.5334636983
724	0.5326657688
725	0.5322436479
726	0.5319146576
727	0.5318758609
728	0.531050367
729	0.5301287788
730	0.5289984551
731	0.5279365166
732	0.5274342792
733	0.526902897
734	0.5261480439
735	0.5255744393
736	0.5255113213
737	0.5246798639
738	0.5241008838
739	0.5233479467
740	0.5225382299
741	0.5212327345
742	0.5206921589
743	0.5199863092
744	0.519542204
745	0.5195157311
746	0.5190682333
747	0.5184105689
748	0.5180084051
749	0.5174546728
750	0.5164198046
751	0.516212293
752	0.5159940492
753	0.5156056877
754	0.5149282469
755	0.5144076352
756	0.5141178028
757	0.5138988344
758	0.5128975195
759	0.5119466761
760	0.5112691595
761	0.5103584442
762	0.5096610395
763	0.5085526742
764	0.5081990542
765	0.5080835119
766	0.5071407913
767	0.5065650658
768	0.5062843788
769	0.5055438723
770	0.505401893
771	0.5050053296
772	0.5041945193
773	0.5036173469
774	0.503568414
775	0.5030755325
776	0.5023622516
777	0.5018106382
778	0.5007944906
779	0.4997127801
780	0.4986797666
781	0.4976614621
782	0.4972275034
783	0.4961744329
784	0.4951807855
785	0.4946143538
786	0.4941154244
787	0.4931234978
788	0.4923829696
789	0.4921235804
790	0.4914096761
791	0.4906283642
792	0.4902680147
793	0.4897545293
794	0.489512846
795	0.4885039805
796	0.4878145962
797	0.487176097
798	0.4864725937
799	0.4854870397
800	0.4851580218
801	0.4843607232
802	0.4842573781
803	0.4831944078
804	0.4829036404
805	0.4827819896
806	0.4824610532
807	0.4819550601
808	0.4817252537
809	0.4816258887
810	0.4815887536
811	0.4808013346
812	0.4801071013
813	0.4794790018
814	0.4785376175
815	0.4775043069
816	0.4769407899
817	0.4767981784
818	0.4762407259
819	0.4759094048
820	0.4752844907
821	0.4743381209
822	0.4740281822
823	0.4737153661
824	0.4733797031
825	0.4729411106
826	0.4727115278
827	0.4718312233
828	0.4710586687
829	0.4702979347
830	0.469312324
831	0.4689391479
832	0.4682509236
833	0.468004914
834	0.4678104441
835	0.4668668232
836	0.4666553325
837	0.466538082
838	0.4658784224
839	0.4652635852
840	0.4651855835
841	0.4648514651
842	0.4647650195
843	0.4643260748
844	0.4641537488
845	0.4636857185
846	0.4626637876
847	0.462229896
848	0.4613897688
849	0.4612382661
850	0.4609713767
851	0.4608654979
852	0.4603195416
853	0.4596309743
854	0.4588900428
855	0.4578723459
856	0.4567109798
857	0.4565790245
858	0.45635215
859	0.4553429703
860	0.454839372
861	0.4546862273
862	0.4544209656
863	0.4540734865
864	0.4530261367
865	0.4521037749
866	0.4511904454
867	0.4508105101
868	0.4498536786
869	0.4493036116
870	0.4488988001
871	0.4482255565
872	0.4480657457
873	0.4479453777
874	0.447125335
875	0.4466303472
876	0.4460237606
877	0.4455884681
878	0.444911055
879	0.4439364496
880	0.4436242094
881	0.4428818021
882	0.4424084037
883	0.4416286583
884	0.4409837291
885	0.4407362802
886	0.4397506505
887	0.4395518374
888	0.4390591093
889	0.4388041623
890	0.4381025329
891	0.4380027428
892	0.4374201056
893	0.4366980427
894	0.4358178795
895	0.4355695607
896	0.4348224649
897	0.434218801
898	0.4337935429
899	0.4337034619
900	0.4331564693
901	0.4329067716
902	0.4323822916
903	0.4319116383
904	0.4312545512
905	0.4302488442
906	0.4295076175
907	0.4291441085
908	0.4282316649
909	0.427398741
910	0.4269204743
911	0.4268490051
912	0.4261968254
913	0.4255646864
914	0.424769049
915	0.4245535147
916	0.4238070767
917	0.4231158394
918	0.4228217647
919	0.4221997938
920	0.4219469245
921	0.4211703797
922	0.4205903682
923	0.4199746198
924	0.4198895004
925	0.4197468851
926	0.4195512264
927	0.4190524353
928	0.4185443059
929	0.4183167954
930	0.4175075318
931	0.4173732166
932	0.4168076149
933	0.4162233344
934	0.4160789368
935	0.415372843
936	0.4152444993
937	0.4147660355
938	0.4144502213
939	0.4137946496
940	0.4137265122
941	0.4131229205
942	0.4126016163
943	0.4124032736
944	0.4122334595
945	0.4116782369
946	0.4109948795
947	0.4105716101
948	0.4101802803
949	0.4097501274
950	0.4092103811
951	0.4088423533
952	0.4085451893
953	0.4084156054
954	0.4078977887
955	0.4070426693
956	0.406720695
957	0.4063752965
958	0.4060263888
959	0.4053040598
960	0.4049341276
961	0.4041765827
962	0.4039405709
963	0.4031692459
964	0.4028710547
965	0.4023914984
966	0.4019956586
967	0.4013004634
968	0.4011324541
969	0.4004387651
970	0.4002623481
971	0.3996585513
972	0.3994179802
973	0.3988552189
974	0.3985114737
975	0.3981707372
976	0.3975795342
977	0.3975170368
978	0.3972591975
979	0.3969011168
980	0.3964842161
981	0.3958908856
982	0.3953771908
983	0.3948155258
984	0.394292541
985	0.3935662373
986	0.3933906054
987	0.3928447793
988	0.3924499357
989	0.392258138
990	0.3915280692
991	0.3912936438
992	0.391099454
993	0.3908776155
994	0.3906601223
995	0.3905740876
996	0.3899169981
997	0.3893024205
998	0.3891044054
999	0.3887414793
